t8_aux001_sup002_cs000/final

Soft/default routing

====================================================================================================
Smoke Test Case: French
====================================================================================================

[Prompt (Alpaca)]: ### Instruction:
Tu es un assistant virtuel. Raconte-moi ta routine matinale avant d'aller au travail. Utilise des verbes pronominaux.

### Response:


Generating...
Je me lève à 6 heures du matin, prends une douche, prépare un petit déjeuner sain et me prépare pour aller au travail.


--------------------------------------------------------------------------------
Token-by-Token Routing Probabilities
--------------------------------------------------------------------------------

Running full forward pass on generated sequence to extract all gates...

Showing Probabilities for Layer: base_model.model.model.layers.7.mlp.down_proj (Token-level)
Token                     |         fr |         ca |         oc
a                         |     0.0004 |     0.0015 |     0.9961
-me                       |     0.7109 |     0.1050 |     0.1846
 ta                       |     0.2559 |     0.0864 |     0.6562
 rut                      |     0.1328 |     0.0776 |     0.7891
ina                       |     0.3262 |     0.4805 |     0.1943
 del                      |     0.4004 |     0.3613 |     0.2383
 mat                      |     0.1279 |     0.2500 |     0.6211
in                        |     0.6484 |     0.3066 |     0.0439
                          |     0.0093 |     0.0258 |     0.9648
abans                     |     0.8281 |     0.0869 |     0.0840
                          |     0.0102 |     0.0219 |     0.9688
d                         |     0.3262 |     0.2119 |     0.4629
anar                      |     0.8242 |     0.0461 |     0.1289
 al                       |     0.6758 |     0.2598 |     0.0659
                          |     0.0549 |     0.0623 |     0.8828
trabalh                   |     0.9180 |     0.0322 |     0.0488
.                         |     0.5859 |     0.3887 |     0.0254
 Util                     |     0.2490 |     0.2070 |     0.5430
iza                       |     0.0034 |     0.0063 |     0.9922
 de                       |     0.2188 |     0.0223 |     0.7578
 v                        |     0.0364 |     0.0278 |     0.9375
è                         |     0.0009 |     0.0004 |     1.0000
r                         |     0.0096 |     0.0056 |     0.9844
bs                        |     0.9180 |     0.0289 |     0.0515
 pr                       |     0.1787 |     0.1777 |     0.6445
onom                      |     0.9141 |     0.0471 |     0.0376
inals                     |     0.9297 |     0.0525 |     0.0189
.\n\n                     |     0.7969 |     0.1660 |     0.0381
###                       |     0.9922 |     0.0057 |     0.0008
 Response                 |     0.0002 |     1.0000 |     0.0001
:\n                       |     0.9883 |     0.0074 |     0.0031
Ab                        |     0.2773 |     0.2539 |     0.4688
ans                       |     0.6367 |     0.2539 |     0.1099
                          |     0.0021 |     0.0069 |     0.9922
d                         |     0.3613 |     0.4199 |     0.2188
entr                      |     0.4336 |     0.4863 |     0.0806
ar                        |     0.6172 |     0.3223 |     0.0601
 al                       |     0.2949 |     0.5508 |     0.1543
                          |     0.0209 |     0.0713 |     0.9062
trabalh                   |     0.8984 |     0.0791 |     0.0232
,                         |     0.6953 |     0.2773 |     0.0276
                          |     0.0089 |     0.0244 |     0.9648
soi                       |     0.0188 |     0.0102 |     0.9727
                          |     0.0049 |     0.0070 |     0.9883
l                         |     0.8945 |     0.0309 |     0.0752
assistant                 |     0.8945 |     0.0928 |     0.0112
 virtual                  |     0.8320 |     0.1318 |     0.0342
.                         |     0.8281 |     0.1309 |     0.0417
                          |     0.0284 |     0.0581 |     0.9141
Cada                      |     0.1436 |     0.1152 |     0.7422
 mat                      |     0.1689 |     0.5703 |     0.2598
in                        |     0.6797 |     0.2500 |     0.0693
,                         |     0.5625 |     0.3867 |     0.0486
 me                       |     0.4473 |     0.0859 |     0.4668
 l                        |     0.3105 |     0.1562 |     0.5352
è                         |     0.0018 |     0.0009 |     0.9961
vi                        |     0.7070 |     0.1167 |     0.1748
 a                        |     0.5195 |     0.2715 |     0.2090
                          |     0.0090 |     0.0095 |     0.9805
6                         |     0.7539 |     0.1621 |     0.0864
:                         |     0.5742 |     0.3164 |     0.1079
00                        |     0.5000 |     0.3281 |     0.1719
,                         |     0.7305 |     0.2197 |     0.0508
 me                       |     0.6836 |     0.0938 |     0.2227
 pre                      |     0.0762 |     0.0781 |     0.8477
ni                        |     0.3281 |     0.1455 |     0.5273
 un                       |     0.5469 |     0.3965 |     0.0583
 b                        |     0.2080 |     0.2129 |     0.5781
any                       |     0.7148 |     0.2295 |     0.0571
,                         |     0.6953 |     0.2676 |     0.0347
 me                       |     0.6992 |     0.1079 |     0.1924
 l                        |     0.2461 |     0.1611 |     0.5938
avo                       |     0.7227 |     0.1816 |     0.0938
 la                       |     0.7266 |     0.1650 |     0.1079
 cara                     |     0.6680 |     0.2539 |     0.0771
 e                        |     0.2773 |     0.1846 |     0.5391
 me                       |     0.6719 |     0.1021 |     0.2256
 f                        |     0.0781 |     0.0674 |     0.8555
asi                       |     0.0032 |     0.0011 |     0.9961
 la                       |     0.5508 |     0.1211 |     0.3262
 bar                      |     0.3789 |     0.1260 |     0.4961
ba                        |     0.8398 |     0.1118 |     0.0486
.                         |     0.8047 |     0.1699 |     0.0265
                          |     0.0483 |     0.0479 |     0.9023
Quand                     |     0.7188 |     0.1484 |     0.1328
 es                       |     0.0737 |     0.0251 |     0.9023
                          |     0.0223 |     0.0193 |     0.9570
7                         |     0.5820 |     0.2676 |     0.1514
:                         |     0.6328 |     0.2793 |     0.0894
30                        |     0.5781 |     0.2773 |     0.1455
,                         |     0.7070 |     0.2344 |     0.0576
 me                       |     0.6055 |     0.1108 |     0.2852
 v                        |     0.0640 |     0.0747 |     0.8633
isti                      |     0.5000 |     0.0840 |     0.4141
 e                        |     0.5195 |     0.2012 |     0.2773
                          |     0.0232 |     0.0294 |     0.9492
m'a                       |     0.0277 |     0.0095 |     0.9609
f                         |     0.1230 |     0.0540 |     0.8242
ai                        |     0.0703 |     0.0171 |     0.9141
 lo                       |     0.1943 |     0.1050 |     0.6992
 café                     |     0.7773 |     0.1709 |     0.0532
.                         |     0.8828 |     0.0791 |     0.0396
                          |     0.1406 |     0.0718 |     0.7891
Qu                        |     0.2119 |     0.0266 |     0.7617
ò                         |     0.0006 |     0.0006 |     1.0000
c                         |     0.0369 |     0.0103 |     0.9531
,                         |     0.7109 |     0.0537 |     0.2344
                          |     0.0320 |     0.0186 |     0.9492
soi                       |     0.2500 |     0.0552 |     0.6953
 pr                       |     0.0903 |     0.0481 |     0.8633
è                         |     0.0008 |     0.0013 |     0.9961

Showing Probabilities for Layer: base_model.model.model.layers.8.self_attn.q_proj (Sequence-level)
Token                     |         fr |         ca |         oc
----------------------------------------------------------------
<|begin_of_text|>         |     0.0972 |     0.0172 |     0.8867
###                       |     0.0972 |     0.0172 |     0.8867
 Instruction              |     0.0972 |     0.0172 |     0.8867
:\n                       |     0.0972 |     0.0172 |     0.8867
S                         |     0.0972 |     0.0172 |     0.8867
ès                        |     0.0972 |     0.0172 |     0.8867
 un                       |     0.0972 |     0.0172 |     0.8867
 assist                   |     0.0972 |     0.0172 |     0.8867
ent                       |     0.0972 |     0.0172 |     0.8867
 virtual                  |     0.0972 |     0.0172 |     0.8867
.                         |     0.0972 |     0.0172 |     0.8867
 Cont                     |     0.0972 |     0.0172 |     0.8867
a                         |     0.0972 |     0.0172 |     0.8867
-me                       |     0.0972 |     0.0172 |     0.8867
 ta                       |     0.0972 |     0.0172 |     0.8867
 rut                      |     0.0972 |     0.0172 |     0.8867
ina                       |     0.0972 |     0.0172 |     0.8867
 del                      |     0.0972 |     0.0172 |     0.8867
 mat                      |     0.0972 |     0.0172 |     0.8867
in                        |     0.0972 |     0.0172 |     0.8867
                          |     0.0972 |     0.0172 |     0.8867
abans                     |     0.0972 |     0.0172 |     0.8867
                          |     0.0972 |     0.0172 |     0.8867
d                         |     0.0972 |     0.0172 |     0.8867
anar                      |     0.0972 |     0.0172 |     0.8867
 al                       |     0.0972 |     0.0172 |     0.8867
                          |     0.0972 |     0.0172 |     0.8867
trabalh                   |     0.0972 |     0.0172 |     0.8867
.                         |     0.0972 |     0.0172 |     0.8867
 Util                     |     0.0972 |     0.0172 |     0.8867
iza                       |     0.0972 |     0.0172 |     0.8867
 de                       |     0.0972 |     0.0172 |     0.8867
 v                        |     0.0972 |     0.0172 |     0.8867
è                         |     0.0972 |     0.0172 |     0.8867
r                         |     0.0972 |     0.0172 |     0.8867
bs                        |     0.0972 |     0.0172 |     0.8867
 pr                       |     0.0972 |     0.0172 |     0.8867
onom                      |     0.0972 |     0.0172 |     0.8867
inals                     |     0.0972 |     0.0172 |     0.8867
.\n\n                     |     0.0972 |     0.0172 |     0.8867
###                       |     0.0972 |     0.0172 |     0.8867
 Response                 |     0.0972 |     0.0172 |     0.8867
:\n                       |     0.0972 |     0.0172 |     0.8867
Ab                        |     0.0972 |     0.0172 |     0.8867
ans                       |     0.0972 |     0.0172 |     0.8867
                          |     0.0972 |     0.0172 |     0.8867
d                         |     0.0972 |     0.0172 |     0.8867
entr                      |     0.0972 |     0.0172 |     0.8867
ar                        |     0.0972 |     0.0172 |     0.8867
 al                       |     0.0972 |     0.0172 |     0.8867
                          |     0.0972 |     0.0172 |     0.8867
trabalh                   |     0.0972 |     0.0172 |     0.8867
,                         |     0.0972 |     0.0172 |     0.8867
                          |     0.0972 |     0.0172 |     0.8867
soi                       |     0.0972 |     0.0172 |     0.8867
                          |     0.0972 |     0.0172 |     0.8867
l                         |     0.0972 |     0.0172 |     0.8867
assistant                 |     0.0972 |     0.0172 |     0.8867
 virtual                  |     0.0972 |     0.0172 |     0.8867
.                         |     0.0972 |     0.0172 |     0.8867
                          |     0.0972 |     0.0172 |     0.8867
Cada                      |     0.0972 |     0.0172 |     0.8867
 mat                      |     0.0972 |     0.0172 |     0.8867
in                        |     0.0972 |     0.0172 |     0.8867
,                         |     0.0972 |     0.0172 |     0.8867
 me                       |     0.0972 |     0.0172 |     0.8867
 l                        |     0.0972 |     0.0172 |     0.8867
è                         |     0.0972 |     0.0172 |     0.8867
vi                        |     0.0972 |     0.0172 |     0.8867
 a                        |     0.0972 |     0.0172 |     0.8867
                          |     0.0972 |     0.0172 |     0.8867
6                         |     0.0972 |     0.0172 |     0.8867
:                         |     0.0972 |     0.0172 |     0.8867
00                        |     0.0972 |     0.0172 |     0.8867
,                         |     0.0972 |     0.0172 |     0.8867
 me                       |     0.0972 |     0.0172 |     0.8867
 pre                      |     0.0972 |     0.0172 |     0.8867
ni                        |     0.0972 |     0.0172 |     0.8867
 un                       |     0.0972 |     0.0172 |     0.8867
 b                        |     0.0972 |     0.0172 |     0.8867
any                       |     0.0972 |     0.0172 |     0.8867
,                         |     0.0972 |     0.0172 |     0.8867
 me                       |     0.0972 |     0.0172 |     0.8867
 l                        |     0.0972 |     0.0172 |     0.8867
avo                       |     0.0972 |     0.0172 |     0.8867
 la                       |     0.0972 |     0.0172 |     0.8867
 cara                     |     0.0972 |     0.0172 |     0.8867
 e                        |     0.0972 |     0.0172 |     0.8867
 me                       |     0.0972 |     0.0172 |     0.8867
 f                        |     0.0972 |     0.0172 |     0.8867
asi                       |     0.0972 |     0.0172 |     0.8867
 la                       |     0.0972 |     0.0172 |     0.8867
 bar                      |     0.0972 |     0.0172 |     0.8867
ba                        |     0.0972 |     0.0172 |     0.8867
.                         |     0.0972 |     0.0172 |     0.8867
                          |     0.0972 |     0.0172 |     0.8867
Quand                     |     0.0972 |     0.0172 |     0.8867
 es                       |     0.0972 |     0.0172 |     0.8867
                          |     0.0972 |     0.0172 |     0.8867
7                         |     0.0972 |     0.0172 |     0.8867
:                         |     0.0972 |     0.0172 |     0.8867
30                        |     0.0972 |     0.0172 |     0.8867
,                         |     0.0972 |     0.0172 |     0.8867
 me                       |     0.0972 |     0.0172 |     0.8867
 v                        |     0.0972 |     0.0172 |     0.8867
isti                      |     0.0972 |     0.0172 |     0.8867
 e                        |     0.0972 |     0.0172 |     0.8867
                          |     0.0972 |     0.0172 |     0.8867
m'a                       |     0.0972 |     0.0172 |     0.8867
f                         |     0.0972 |     0.0172 |     0.8867
ai                        |     0.0972 |     0.0172 |     0.8867
 lo                       |     0.0972 |     0.0172 |     0.8867
 café                     |     0.0972 |     0.0172 |     0.8867
.                         |     0.0972 |     0.0172 |     0.8867
                          |     0.0972 |     0.0172 |     0.8867
Qu                        |     0.0972 |     0.0172 |     0.8867
ò                         |     0.0972 |     0.0172 |     0.8867
c                         |     0.0972 |     0.0172 |     0.8867
,                         |     0.0972 |     0.0172 |     0.8867
                          |     0.0972 |     0.0172 |     0.8867
soi                       |     0.0972 |     0.0172 |     0.8867
 pr                       |     0.0972 |     0.0172 |     0.8867
è                         |     0.0972 |     0.0172 |     0.8867

====================================================================================================
Smoke Test Case: Code-Switch
====================================================================================================

[Prompt (Alpaca)]: ### Instruction:
Escriu un pichon paragraf majoritàriament en francés, mas inserís naturalament una corta expression occitana e una autra catalana.

### Response:


Generating...
La ville de Sant Gaudenç es situada dins la vallada de la Garona, a l'oèst de la vila de Vilamòs. L'aglomeracion de Sant Gaudenç es compassada de 6 000 habitants, e la vila a un poder de 2 000 habitants


--------------------------------------------------------------------------------
Token-by-Token Routing Probabilities
--------------------------------------------------------------------------------

Running full forward pass on generated sequence to extract all gates...

Showing Probabilities for Layer: base_model.model.model.layers.7.mlp.down_proj (Token-level)
Token                     |         fr |         ca |         oc
----------------------------------------------------------------
<|begin_of_text|>         |     0.1846 |     0.3711 |     0.4453
###                       |     0.7852 |     0.0913 |     0.1250
 Instruction              |     0.1377 |     0.3496 |     0.5117
:\n                       |     0.1030 |     0.3105 |     0.5859
Escriu                    |     0.0001 |     0.0014 |     1.0000
 un                       |     0.0330 |     0.7031 |     0.2617
 p                        |     0.0204 |     0.0737 |     0.9062
ich                       |     0.0011 |     0.0030 |     0.9961
on                        |     0.6211 |     0.0442 |     0.3340
 par                      |     0.5664 |     0.0688 |     0.3652
agra                      |     0.2539 |     0.4785 |     0.2676
f                         |     0.3320 |     0.1426 |     0.5234
 major                    |     0.0269 |     0.0464 |     0.9258
ità                       |     0.0007 |     0.0181 |     0.9805
ri                        |     0.0029 |     0.5039 |     0.4941
ament                     |     0.5039 |     0.3398 |     0.1553
 en                       |     0.8555 |     0.1089 |     0.0337
 franc                    |     0.8359 |     0.0732 |     0.0894
és                        |     0.7969 |     0.0908 |     0.1138
,                         |     0.7656 |     0.2100 |     0.0232
 mas                      |     0.0471 |     0.0894 |     0.8633
 inser                    |     0.1128 |     0.2695 |     0.6172
ís                        |     0.2773 |     0.4473 |     0.2754
 natural                  |     0.1357 |     0.1436 |     0.7188
ament                     |     0.7539 |     0.1689 |     0.0767
 una                      |     0.7852 |     0.1611 |     0.0535
 cort                     |     0.0293 |     0.0152 |     0.9570
a                         |     0.0245 |     0.0253 |     0.9492
 expression               |     0.9141 |     0.0469 |     0.0398
                          |     0.1260 |     0.0537 |     0.8203
occitana                  |     0.2100 |     0.0554 |     0.7344
 e                        |     0.8555 |     0.0806 |     0.0649
 una                      |     0.7305 |     0.1738 |     0.0952
                          |     0.0222 |     0.0178 |     0.9609
autra                     |     0.9102 |     0.0469 |     0.0417
                          |     0.0337 |     0.0242 |     0.9414
catalan                   |     0.2578 |     0.1504 |     0.5898
a                         |     0.9414 |     0.0332 |     0.0251
.\n\n                     |     0.8359 |     0.1377 |     0.0255
###                       |     0.9922 |     0.0068 |     0.0012
 Response                 |     0.0002 |     1.0000 |     0.0002
:\n                       |     0.9883 |     0.0090 |     0.0020
La                        |     0.5117 |     0.3691 |     0.1206
 ville                    |     0.8047 |     0.0776 |     0.1167
 de                       |     0.5273 |     0.1738 |     0.2969
                          |     0.0564 |     0.0155 |     0.9297
Sant                      |     0.0237 |     0.0164 |     0.9609
 G                        |     0.3613 |     0.0776 |     0.5625
aud                       |     0.1504 |     0.1816 |     0.6680
en                        |     0.1465 |     0.0674 |     0.7852
ç                         |     0.1167 |     0.0182 |     0.8633
 es                       |     0.1436 |     0.1836 |     0.6719
 situ                     |     0.0732 |     0.0967 |     0.8281
ada                       |     0.5977 |     0.1992 |     0.2051
                          |     0.0132 |     0.0197 |     0.9688
dins                      |     0.2520 |     0.0820 |     0.6680
 la                       |     0.8008 |     0.1079 |     0.0898
 v                        |     0.1504 |     0.1455 |     0.7031
all                       |     0.3555 |     0.1895 |     0.4551
ada                       |     0.4805 |     0.0742 |     0.4453
 de                       |     0.7305 |     0.1826 |     0.0854
 la                       |     0.7266 |     0.1611 |     0.1118
 Gar                      |     0.3477 |     0.1846 |     0.4668
ona                       |     0.6484 |     0.1211 |     0.2314
,                         |     0.7969 |     0.1572 |     0.0471
 a                        |     0.4082 |     0.1807 |     0.4121
                          |     0.1177 |     0.0796 |     0.8008
l                         |     0.7070 |     0.0459 |     0.2471
o                         |     0.0815 |     0.0510 |     0.8672
è                         |     0.0017 |     0.0010 |     0.9961
st                        |     0.5820 |     0.0884 |     0.3281
 de                       |     0.6211 |     0.2246 |     0.1523
 la                       |     0.6133 |     0.2070 |     0.1807
                          |     0.0315 |     0.0173 |     0.9531
vila                      |     0.2129 |     0.0381 |     0.7500
 de                       |     0.5820 |     0.1240 |     0.2930
                          |     0.0332 |     0.0109 |     0.9570
Vila                      |     0.0155 |     0.0089 |     0.9766
m                         |     0.2031 |     0.0381 |     0.7578
ò                         |     0.0095 |     0.0043 |     0.9844
s                         |     0.1670 |     0.0562 |     0.7773
.                         |     0.6641 |     0.2676 |     0.0708
                          |     0.0339 |     0.0339 |     0.9336
L                         |     0.7344 |     0.1099 |     0.1553
ag                        |     0.3711 |     0.1206 |     0.5078
l                         |     0.3848 |     0.1436 |     0.4707
omer                      |     0.4902 |     0.1279 |     0.3828
acion                     |     0.7695 |     0.0439 |     0.1865
 de                       |     0.8711 |     0.0569 |     0.0737
                          |     0.0291 |     0.0121 |     0.9570
Sant                      |     0.1484 |     0.0315 |     0.8203
 G                        |     0.5820 |     0.2363 |     0.1816
aud                       |     0.3203 |     0.1670 |     0.5117
en                        |     0.3125 |     0.1475 |     0.5391
ç                         |     0.5391 |     0.0967 |     0.3633
 es                       |     0.5898 |     0.1562 |     0.2559
 com                      |     0.2305 |     0.0884 |     0.6797
passa                     |     0.0449 |     0.0047 |     0.9492
da                        |     0.3418 |     0.0332 |     0.6250
 de                       |     0.8047 |     0.0830 |     0.1118
                          |     0.0469 |     0.0258 |     0.9258
6                         |     0.7109 |     0.0757 |     0.2129
                          |     0.0232 |     0.0234 |     0.9531
000                       |     0.5352 |     0.2637 |     0.2012
 habit                    |     0.3555 |     0.4238 |     0.2197
ants                      |     0.6211 |     0.2520 |     0.1270
,                         |     0.6094 |     0.2598 |     0.1318
 e                        |     0.1992 |     0.1973 |     0.6055
 la                       |     0.6289 |     0.1914 |     0.1787
                          |     0.0491 |     0.0254 |     0.9258
vila                      |     0.7148 |     0.0850 |     0.2012
 a                        |     0.7227 |     0.0557 |     0.2207
 un                       |     0.8594 |     0.0427 |     0.0967
                          |     0.0156 |     0.0115 |     0.9727
poder                     |     0.7969 |     0.0396 |     0.1621
 de                       |     0.7305 |     0.1104 |     0.1611
                          |     0.4922 |     0.1641 |     0.3418
2                         |     0.6367 |     0.1865 |     0.1748
                          |     0.2490 |     0.1162 |     0.6328
000                       |     0.6094 |     0.2266 |     0.1621
 habit                    |     0.4199 |     0.3066 |     0.2754
ants                      |     0.6211 |     0.2275 |     0.1504

Showing Probabilities for Layer: base_model.model.model.layers.8.self_attn.q_proj (Sequence-level)
Token                     |         fr |         ca |         oc
----------------------------------------------------------------
<|begin_of_text|>         |     0.2158 |     0.0101 |     0.7734
###                       |     0.2158 |     0.0101 |     0.7734
 Instruction              |     0.2158 |     0.0101 |     0.7734
:\n                       |     0.2158 |     0.0101 |     0.7734
Escriu                    |     0.2158 |     0.0101 |     0.7734
 un                       |     0.2158 |     0.0101 |     0.7734
 p                        |     0.2158 |     0.0101 |     0.7734
ich                       |     0.2158 |     0.0101 |     0.7734
on                        |     0.2158 |     0.0101 |     0.7734
 par                      |     0.2158 |     0.0101 |     0.7734
agra                      |     0.2158 |     0.0101 |     0.7734
f                         |     0.2158 |     0.0101 |     0.7734
 major                    |     0.2158 |     0.0101 |     0.7734
ità                       |     0.2158 |     0.0101 |     0.7734
ri                        |     0.2158 |     0.0101 |     0.7734
ament                     |     0.2158 |     0.0101 |     0.7734
 en                       |     0.2158 |     0.0101 |     0.7734
 franc                    |     0.2158 |     0.0101 |     0.7734
és                        |     0.2158 |     0.0101 |     0.7734
,                         |     0.2158 |     0.0101 |     0.7734
 mas                      |     0.2158 |     0.0101 |     0.7734
 inser                    |     0.2158 |     0.0101 |     0.7734
ís                        |     0.2158 |     0.0101 |     0.7734
 natural                  |     0.2158 |     0.0101 |     0.7734
ament                     |     0.2158 |     0.0101 |     0.7734
 una                      |     0.2158 |     0.0101 |     0.7734
 cort                     |     0.2158 |     0.0101 |     0.7734
a                         |     0.2158 |     0.0101 |     0.7734
 expression               |     0.2158 |     0.0101 |     0.7734
                          |     0.2158 |     0.0101 |     0.7734
occitana                  |     0.2158 |     0.0101 |     0.7734
 e                        |     0.2158 |     0.0101 |     0.7734
 una                      |     0.2158 |     0.0101 |     0.7734
                          |     0.2158 |     0.0101 |     0.7734
autra                     |     0.2158 |     0.0101 |     0.7734
                          |     0.2158 |     0.0101 |     0.7734
catalan                   |     0.2158 |     0.0101 |     0.7734
a                         |     0.2158 |     0.0101 |     0.7734
.\n\n                     |     0.2158 |     0.0101 |     0.7734
###                       |     0.2158 |     0.0101 |     0.7734
 Response                 |     0.2158 |     0.0101 |     0.7734
:\n                       |     0.2158 |     0.0101 |     0.7734
La                        |     0.2158 |     0.0101 |     0.7734
 ville                    |     0.2158 |     0.0101 |     0.7734
 de                       |     0.2158 |     0.0101 |     0.7734
                          |     0.2158 |     0.0101 |     0.7734
Sant                      |     0.2158 |     0.0101 |     0.7734
 G                        |     0.2158 |     0.0101 |     0.7734
aud                       |     0.2158 |     0.0101 |     0.7734
en                        |     0.2158 |     0.0101 |     0.7734
ç                         |     0.2158 |     0.0101 |     0.7734
 es                       |     0.2158 |     0.0101 |     0.7734
 situ                     |     0.2158 |     0.0101 |     0.7734
ada                       |     0.2158 |     0.0101 |     0.7734
                          |     0.2158 |     0.0101 |     0.7734
dins                      |     0.2158 |     0.0101 |     0.7734
 la                       |     0.2158 |     0.0101 |     0.7734
 v                        |     0.2158 |     0.0101 |     0.7734
all                       |     0.2158 |     0.0101 |     0.7734
ada                       |     0.2158 |     0.0101 |     0.7734
 de                       |     0.2158 |     0.0101 |     0.7734
 la                       |     0.2158 |     0.0101 |     0.7734
 Gar                      |     0.2158 |     0.0101 |     0.7734
ona                       |     0.2158 |     0.0101 |     0.7734
,                         |     0.2158 |     0.0101 |     0.7734
 a                        |     0.2158 |     0.0101 |     0.7734
                          |     0.2158 |     0.0101 |     0.7734
l                         |     0.2158 |     0.0101 |     0.7734
o                         |     0.2158 |     0.0101 |     0.7734
è                         |     0.2158 |     0.0101 |     0.7734
st                        |     0.2158 |     0.0101 |     0.7734
 de                       |     0.2158 |     0.0101 |     0.7734
 la                       |     0.2158 |     0.0101 |     0.7734
                          |     0.2158 |     0.0101 |     0.7734
vila                      |     0.2158 |     0.0101 |     0.7734
 de                       |     0.2158 |     0.0101 |     0.7734
                          |     0.2158 |     0.0101 |     0.7734
Vila                      |     0.2158 |     0.0101 |     0.7734
m                         |     0.2158 |     0.0101 |     0.7734
ò                         |     0.2158 |     0.0101 |     0.7734
s                         |     0.2158 |     0.0101 |     0.7734
.                         |     0.2158 |     0.0101 |     0.7734
                          |     0.2158 |     0.0101 |     0.7734
L                         |     0.2158 |     0.0101 |     0.7734
ag                        |     0.2158 |     0.0101 |     0.7734
l                         |     0.2158 |     0.0101 |     0.7734
omer                      |     0.2158 |     0.0101 |     0.7734
acion                     |     0.2158 |     0.0101 |     0.7734
 de                       |     0.2158 |     0.0101 |     0.7734
                          |     0.2158 |     0.0101 |     0.7734
Sant                      |     0.2158 |     0.0101 |     0.7734
 G                        |     0.2158 |     0.0101 |     0.7734
aud                       |     0.2158 |     0.0101 |     0.7734
en                        |     0.2158 |     0.0101 |     0.7734
ç                         |     0.2158 |     0.0101 |     0.7734
 es                       |     0.2158 |     0.0101 |     0.7734
 com                      |     0.2158 |     0.0101 |     0.7734
passa                     |     0.2158 |     0.0101 |     0.7734
da                        |     0.2158 |     0.0101 |     0.7734
 de                       |     0.2158 |     0.0101 |     0.7734
                          |     0.2158 |     0.0101 |     0.7734
6                         |     0.2158 |     0.0101 |     0.7734
                          |     0.2158 |     0.0101 |     0.7734
000                       |     0.2158 |     0.0101 |     0.7734
 habit                    |     0.2158 |     0.0101 |     0.7734
ants                      |     0.2158 |     0.0101 |     0.7734
,                         |     0.2158 |     0.0101 |     0.7734
 e                        |     0.2158 |     0.0101 |     0.7734
 la                       |     0.2158 |     0.0101 |     0.7734
                          |     0.2158 |     0.0101 |     0.7734
vila                      |     0.2158 |     0.0101 |     0.7734
 a                        |     0.2158 |     0.0101 |     0.7734
 un                       |     0.2158 |     0.0101 |     0.7734
                          |     0.2158 |     0.0101 |     0.7734
poder                     |     0.2158 |     0.0101 |     0.7734
 de                       |     0.2158 |     0.0101 |     0.7734
                          |     0.2158 |     0.0101 |     0.7734
2                         |     0.2158 |     0.0101 |     0.7734
                          |     0.2158 |     0.0101 |     0.7734
000                       |     0.2158 |     0.0101 |     0.7734
 habit                    |     0.2158 |     0.0101 |     0.7734
ants                      |     0.2158 |     0.0101 |     0.7734

Hard argmax routing

 travail                  |     1.0000 |     0.0000 |     0.0000
.                         |     1.0000 |     0.0000 |     0.0000
 Util                     |     0.0000 |     0.0000 |     1.0000
ise                       |     1.0000 |     0.0000 |     0.0000
 des                      |     1.0000 |     0.0000 |     0.0000
 ver                      |     1.0000 |     0.0000 |     0.0000
bes                       |     1.0000 |     0.0000 |     0.0000
 pr                       |     1.0000 |     0.0000 |     0.0000
onom                      |     1.0000 |     0.0000 |     0.0000
ina                       |     1.0000 |     0.0000 |     0.0000
ux                        |     1.0000 |     0.0000 |     0.0000
.\n\n                     |     1.0000 |     0.0000 |     0.0000
###                       |     1.0000 |     0.0000 |     0.0000
 Response                 |     0.0000 |     1.0000 |     0.0000
:\n                       |     1.0000 |     0.0000 |     0.0000
Je                        |     1.0000 |     0.0000 |     0.0000
 me                       |     1.0000 |     0.0000 |     0.0000
 ré                       |     1.0000 |     0.0000 |     0.0000
ve                        |     1.0000 |     0.0000 |     0.0000
ille                      |     1.0000 |     0.0000 |     0.0000
 à                        |     1.0000 |     0.0000 |     0.0000
                          |     1.0000 |     0.0000 |     0.0000
7                         |     1.0000 |     0.0000 |     0.0000
 heures                   |     1.0000 |     0.0000 |     0.0000
 du                       |     1.0000 |     0.0000 |     0.0000
 mat                      |     1.0000 |     0.0000 |     0.0000
in                        |     1.0000 |     0.0000 |     0.0000
,                         |     1.0000 |     0.0000 |     0.0000
 je                       |     1.0000 |     0.0000 |     0.0000
 me                       |     1.0000 |     0.0000 |     0.0000
 l                        |     1.0000 |     0.0000 |     0.0000
ève                       |     1.0000 |     0.0000 |     0.0000
,                         |     1.0000 |     0.0000 |     0.0000
 je                       |     1.0000 |     0.0000 |     0.0000
 me                       |     1.0000 |     0.0000 |     0.0000
 bro                      |     1.0000 |     0.0000 |     0.0000
sse                       |     1.0000 |     0.0000 |     0.0000
 les                      |     1.0000 |     0.0000 |     0.0000
 d                        |     0.0000 |     0.0000 |     1.0000
ents                      |     1.0000 |     0.0000 |     0.0000
,                         |     1.0000 |     0.0000 |     0.0000
 je                       |     1.0000 |     0.0000 |     0.0000
 prend                    |     1.0000 |     0.0000 |     0.0000
s                         |     1.0000 |     0.0000 |     0.0000
 une                      |     1.0000 |     0.0000 |     0.0000
 douche                   |     1.0000 |     0.0000 |     0.0000
,                         |     1.0000 |     0.0000 |     0.0000
 je                       |     1.0000 |     0.0000 |     0.0000
 me                       |     1.0000 |     0.0000 |     0.0000
 pré                      |     1.0000 |     0.0000 |     0.0000
pare                      |     1.0000 |     0.0000 |     0.0000
 un                       |     1.0000 |     0.0000 |     0.0000
